PERMNO,DelistingDt,DelDtPrc,DelDtPrcFlg,DelActionType,DelStatusType,DelReasonType,DelPaymentType,DelPERMNO,DelPERMCO,DelRet,DelRetMissType,DelNextDt,DelNextPrc,DelNextPrcFlg,DelAmtDt,DelDivAmt,DelDisType,DelDlyDt,PrimaryExch,SICCD,NASDIssuno
20278,2024-03-21,2.850000,TR,MER,FPAY,UNAV,STK,24939,59826,-0.129825,NA,,,DA,2024-03-22,2.480000,D1,2024-03-22,Q,9999,82333
20279,2021-12-01,11.010000,TR,MER,FPAY,UNAV,STK,22558,59080,-0.205268,NA,,,DA,2021-12-02,8.750000,D1,2021-12-02,Q,9999,82295
20282,2024-05-28,11.390000,TR,GDR,VCL,FING,PRCF,0,0,,DM,,,DM,,,NO,2024-05-29,Q,9999,81832
20283,2023-10-12,6.150000,TR,MER,FPAY,UNAV,STK,24485,59700,-0.455285,NA,,,DA,2023-10-13,3.350000,D1,2023-10-13,Q,9999,81880
20284,2023-07-10,10.870000,TR,GDR,VCL,FING,PRCF,0,0,0.003680,NA,2023-07-11,10.910000,DP,2023-07-11,0.000000,NO,2023-07-11,Q,9999,82475
20286,2024-05-03,8.790000,TR,GDR,VCL,FING,PRCF,0,0,-0.658703,NA,2024-05-08,3.000000,DP,2024-05-08,0.000000,NO,2024-05-06,Q,9999,82432
20291,2023-04-26,10.040000,TR,GLI,FPAY,UNAV,UNAV,0,0,-0.003984,NA,,,DA,2023-04-27,10.000000,D1,2023-04-27,Q,9999,82479
20302,2022-10-24,10.050000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.001188,NA,,,DA,2022-10-25,10.061940,D1,2022-10-25,Q,9999,82481
20303,2022-10-28,10.040000,TR,GLI,FPAY,UNAV,UNAV,0,0,-0.000639,NA,,,DA,2022-10-31,10.033580,D1,2022-10-31,Q,9999,82413
20304,2021-09-30,9.350000,TR,MER,FPAY,UNAV,STK,22236,58884,0.000000,NA,,,DA,2021-10-01,9.350000,D1,2021-10-01,Q,9999,82279
20306,2023-12-20,26.990000,TR,MER,FPAY,UNAV,CASH,0,0,0.000371,NA,,,DA,2023-12-21,27.000000,D1,2023-12-21,Q,9999,82694
20313,2022-05-19,9.910000,TR,MER,FPAY,UNAV,STK,23105,59289,-0.106963,NA,,,DA,2022-05-20,8.850000,D1,2022-05-20,Q,9999,82012
20316,2023-04-28,24.460000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.001728,NA,,,DA,2023-05-01,24.502260,D1,2023-05-01,Q,6726,82698
20317,2023-04-28,23.180000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000000,NA,,,DA,2023-05-01,23.180000,D1,2023-05-01,Q,6726,82697
20321,2022-12-16,0.168200,TR,GDR,VCL,FING,PRCF,0,0,-0.518430,NA,2022-12-19,0.081000,DP,2022-12-19,0.000000,NO,2022-12-19,Q,9999,80615
20322,2022-08-10,1.650000,TR,MER,FPAY,UNAV,STK,16883,56045,-0.252327,NA,,,DA,2022-08-11,1.233660,D1,2022-08-11,Q,9999,82242
20323,2023-08-10,22.470000,TR,MER,FPAY,UNAV,CSHN,0,21102,-0.336004,MV,,,DA,2023-08-11,0.000000,D2,2023-08-11,Q,9999,82055
20324,2022-10-28,10.050000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.001849,NA,,,DA,2022-10-31,10.068580,D1,2022-10-31,Q,9999,82368
20326,2022-10-27,10.040000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000633,NA,,,DA,2022-10-28,10.046360,D1,2022-10-28,Q,9999,82188
20329,2022-10-19,10.030000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.002704,NA,,,DA,2022-10-20,10.057120,D1,2022-10-20,Q,9999,82374
20330,2023-08-09,0.823800,TR,GDR,VCL,FING,PRCF,0,0,-0.150279,NA,2023-08-10,0.700000,DP,2023-08-10,0.000000,NO,2023-08-10,Q,9999,82465
20340,2023-01-04,17.900000,TR,MER,FPAY,UNAV,CASH,0,0,0.000000,NA,,,DA,2023-01-05,17.900000,D1,2023-01-05,Q,9999,82910
20345,2023-06-27,18.140000,TR,MER,FPAY,UNAV,CASH,0,0,0.000551,NA,,,DA,2023-06-28,18.150000,D1,2023-06-28,Q,9999,83059
20350,2022-11-18,19.925000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000202,NA,,,DA,2022-11-21,19.929030,D1,2022-11-21,B,6726,0
20354,2024-09-26,6.280000,TR,MER,FPAY,UNAV,CASH,0,0,0.001592,NA,,,DA,2024-09-27,6.290000,D1,2024-09-27,N,6799,0
20355,2022-06-07,10.090000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000991,NA,,,DA,2022-06-08,10.100000,D1,2022-06-08,N,6799,0
20356,2022-12-09,10.160000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000984,NA,,,DA,2022-12-12,10.170000,D1,2022-12-12,N,6799,0
20360,2022-09-23,38.510000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.004989,NA,,,DA,2022-09-26,38.702140,D1,2022-09-26,R,6726,0
20369,2024-01-02,29.459100,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000822,NA,,,DA,2024-01-03,29.483320,D1,2024-01-03,B,6726,0
20370,2024-01-02,29.059700,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000955,NA,,,DA,2024-01-03,29.087450,D1,2024-01-03,B,6726,0
20371,2024-01-02,29.829900,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000704,NA,,,DA,2024-01-03,29.850900,D1,2024-01-03,B,6726,0
20374,2022-08-17,11.005000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.001542,NA,,,DA,2022-08-18,11.021970,D1,2022-08-18,R,6726,0
20384,2022-05-31,9.995000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000500,NA,,,DA,2022-06-01,10.000000,D1,2022-06-01,N,6799,0
20388,2022-10-27,10.030000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000997,NA,,,DA,2022-10-28,10.040000,D1,2022-10-28,N,6799,0
20390,2023-09-25,1.250000,TR,GDR,VCL,FING,PRCF,0,0,-0.572000,NA,2023-09-26,0.535000,DP,2023-09-26,0.000000,NO,2023-09-26,N,6799,0
20392,2022-07-28,19.980000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.001075,NA,,,DA,2022-07-29,20.001470,D1,2022-07-29,B,6726,0
20393,2022-12-20,10.105000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.001211,NA,,,DA,2022-12-21,10.117240,D1,2022-12-21,N,6799,0
20396,2022-12-16,10.585000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.001996,NA,,,DA,2022-12-19,10.606130,D1,2022-12-19,N,6799,0
20398,2023-03-07,10.210000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000503,NA,,,DA,2023-03-08,10.215140,D1,2023-03-08,N,6799,0
20400,2022-12-07,10.055000,BA,GLI,FPAY,UNAV,UNAV,0,0,0.004772,NA,,,DA,2022-12-08,10.102980,D1,2022-12-08,N,6799,0
20401,2021-12-17,10.140000,TR,MER,FPAY,UNAV,STK,22515,59050,0.059172,NA,,,DA,2021-12-20,10.740000,D1,2021-12-20,N,6799,0
20402,2024-09-10,1.280000,TR,GDR,VCL,EQRQ,PRCF,0,0,-0.515625,NA,2024-09-11,0.620000,DP,2024-09-11,0.000000,NO,2024-09-11,N,3555,0
20403,2024-05-10,1.140000,TR,MER,FPAY,UNAV,CASH,0,0,0.000000,NA,,,DA,2024-05-13,1.140000,D1,2024-05-13,Q,6799,83150
20405,2021-06-28,10.980000,TR,MER,FPAY,UNAV,STK,21431,58354,0.001821,NA,,,DA,2021-06-29,11.000000,D1,2021-06-29,N,6799,0
20409,2022-06-09,10.095000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000495,NA,,,DA,2022-06-10,10.100000,D1,2022-06-10,N,6799,0
20411,2022-05-26,17.630000,TR,MER,FPAY,UNAV,CST,76591,10827,0.024048,NA,,,DA,2022-05-27,18.053970,D2,2022-05-27,Q,9999,83013
20413,2024-03-13,10.120000,TR,GLI,FPAY,UNAV,UNAV,0,0,-0.003763,NA,,,DA,2024-03-14,10.081920,D1,2024-03-14,Q,9999,82128
20414,2023-08-03,10.240000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000462,NA,,,DA,2023-08-04,10.244730,D1,2023-08-04,Q,9999,82507
20417,2022-10-31,10.440000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.003251,NA,,,DA,2022-11-01,10.473940,D1,2022-11-01,Q,9999,82767
20418,2022-03-17,8.330000,TR,MER,FPAY,UNAV,STK,22973,59245,0.015606,NA,,,DA,2022-03-18,8.460000,D1,2022-03-18,Q,9999,83115
20421,2024-01-30,0.601000,TR,GDR,VCL,FING,PRCF,0,0,-0.093178,NA,2024-01-31,0.545000,DP,2024-01-31,0.000000,NO,2024-01-31,Q,9999,82235
20424,2021-11-30,9.420000,TR,MER,FPAY,UNAV,STK,22536,59063,-0.145435,NA,,,DA,2021-12-01,8.050000,D1,2021-12-01,Q,9999,82655
20426,2022-12-08,10.060000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.001988,NA,,,DA,2022-12-09,10.080000,D1,2022-12-09,Q,9999,82634
20427,2024-10-04,15.690000,TR,GDR,VCL,CORQ,PRCF,0,0,-0.015934,NA,2024-10-07,15.440000,DP,2024-10-07,0.000000,NO,2024-10-07,Q,9999,82292
20428,2024-02-21,10.250000,TR,MER,FPAY,UNAV,CSHN,0,29908,-0.024390,MV,,,DA,2024-02-22,0.000000,D2,2024-02-22,Q,9999,82684
20429,2022-11-03,10.050000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.002654,NA,,,DA,2022-11-04,10.076670,D1,2022-11-04,Q,9999,82402
20433,2022-12-22,10.100000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000973,NA,,,DA,2022-12-23,10.109830,D1,2022-12-23,Q,0,82736
20434,2022-12-01,10.060000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000570,NA,,,DA,2022-12-02,10.065730,D1,2022-12-02,Q,9999,82825
20435,2023-07-31,2.320000,TR,MER,FPAY,UNAV,CASH,0,5849,0.004310,NA,,,DA,2023-08-01,2.330000,D1,2023-08-01,Q,9999,82988
20440,2022-09-12,10.160000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.002269,NA,,,DA,2022-09-13,10.183050,D1,2022-09-13,Q,9999,82155
20441,2024-02-26,10.990000,TR,MER,FPAY,UNAV,CASH,0,52388,0.000910,NA,,,DA,2024-02-27,11.000000,D1,2024-02-27,Q,9999,82510
20443,2022-11-10,10.060000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.001301,NA,,,DA,2022-11-11,10.073090,D1,2022-11-11,Q,9999,82272
20444,2022-12-27,10.100000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.001107,NA,,,DA,2022-12-28,10.111180,D1,2022-12-28,Q,9999,82953
20446,2022-11-29,10.070000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.002539,NA,,,DA,2022-11-30,10.095570,D1,2022-11-30,Q,9999,82440
20448,2023-10-26,0.072200,TR,GDR,VCL,FING,PRCF,0,0,-0.072022,NA,2023-10-27,0.067000,DP,2023-10-27,0.000000,NO,2023-10-27,Q,9999,82133
